Continent,Subregion,Country,Year,Period,Medium,High,Low
Europe,Northern Europe,Finland,1953,past,4144309,4144309,4144309
Europe,Northern Europe,Iceland,1953,past,150813,150813,150813
Europe,Northern Europe,Ireland,1953,past,2901312,2901312,2901312
Europe,Northern Europe,Isle of Man,1953,past,54212,54212,54212
Europe,Northern Europe,Latvia,1953,past,1961660,1961660,1961660
Europe,Northern Europe,Lithuania,1953,past,2591374,2591374,2591374
Europe,Northern Europe,Norway,1953,past,3367054,3367054,3367054
Europe,Northern Europe,Sweden,1953,past,7175673,7175673,7175673
Europe,Northern Europe,United Kingdom,1953,past,50750980,50750980,50750980
Europe,Southern Europe,Albania,1953,past,1348113,1348113,1348113
Europe,Southern Europe,Andorra,1953,past,7859,7859,7859
Europe,Southern Europe,Bosnia and Herzegovina,1953,past,2821306,2821306,2821306
Europe,Southern Europe,Croatia,1953,past,3959122,3959122,3959122
Europe,Southern Europe,Gibraltar,1953,past,22632,22632,22632
Europe,Southern Europe,Greece,1953,past,7882596,7882596,7882596
Europe,Southern Europe,Holy See,1953,past,890,890,890
Europe,Southern Europe,Italy,1953,past,47737391,47737391,47737391
Europe,Southern Europe,Malta,1953,past,313266,313266,313266
Europe,Southern Europe,Montenegro,1953,past,421731,421731,421731
Europe,Southern Europe,Portugal,1953,past,8503169,8503169,8503169
Europe,Southern Europe,San Marino,1953,past,13297,13297,13297
Europe,Southern Europe,Serbia,1953,past,7063171,7063171,7063171
Europe,Southern Europe,Slovenia,1953,past,1502835,1502835,1502835
Europe,Southern Europe,Spain,1953,past,28600360,28600360,28600360
Europe,Southern Europe,North Macedonia,1953,past,1347470,1347470,1347470
Europe,Western Europe,Austria,1953,past,6935149,6935149,6935149
Europe,Western Europe,Belgium,1953,past,8779267,8779267,8779267
Europe,Western Europe,France,1953,past,42654661,42654661,42654661
Europe,Western Europe,Germany,1953,past,70929839,70929839,70929839
Europe,Western Europe,Liechtenstein,1953,past,14344,14344,14344
Europe,Western Europe,Luxembourg,1953,past,301507,301507,301507
Europe,Western Europe,Monaco,1953,past,19049,19049,19049
Europe,Western Europe,Netherlands,1953,past,10432296,10432296,10432296
Europe,Western Europe,Switzerland,1953,past,4841507,4841507,4841507
America,Caribbean,Anguilla,1953,past,5598,5598,5598
America,Caribbean,Antigua and Barbuda,1953,past,48135,48135,48135
America,Caribbean,Aruba,1953,past,40151,40151,40151
America,Caribbean,Bahamas,1953,past,83373,83373,83373
America,Caribbean,Barbados,1953,past,222854,222854,222854
America,Caribbean,British Virgin Islands,1953,past,7597,7597,7597
America,Caribbean,Bonaire; Sint Eustatius and Saba,1953,past,7524,7524,7524
America,Caribbean,Cayman Islands,1953,past,6318,6318,6318
America,Caribbean,Cuba,1953,past,6303731,6303731,6303731
America,Caribbean,Curaçao,1953,past,111508,111508,111508
America,Caribbean,Dominica,1953,past,52941,52941,52941
America,Caribbean,Dominican Republic,1953,past,2601343,2601343,2601343
America,Caribbean,Grenada,1953,past,78167,78167,78167
America,Caribbean,Guadeloupe,1953,past,222796,222796,222796
America,Caribbean,Haiti,1953,past,3388959,3388959,3388959
America,Caribbean,Jamaica,1953,past,1495935,1495935,1495935
America,Caribbean,Martinique,1953,past,233260,233260,233260
America,Caribbean,Montserrat,1953,past,14601,14601,14601
America,Caribbean,Puerto Rico,1953,past,2181915,2181915,2181915
America,Caribbean,Saint Kitts and Nevis,1953,past,47044,47044,47044
America,Caribbean,Saint Lucia,1953,past,85352,85352,85352
America,Caribbean,Saint Vincent and the Grenadines,1953,past,70612,70612,70612
America,Caribbean,Sint Maarten (Dutch part),1953,past,1913,1913,1913
America,Caribbean,Trinidad and Tobago,1953,past,695247,695247,695247
America,Caribbean,Turks and Caicos Islands,1953,past,5037,5037,5037
America,Caribbean,United States Virgin Islands,1953,past,28812,28812,28812
America,Central America,Belize,1953,past,75551,75551,75551
America,Central America,Costa Rica,1953,past,1035862,1035862,1035862
America,Central America,El Salvador,1953,past,2327374,2327374,2327374
America,Central America,Guatemala,1953,past,3413156,3413156,3413156
America,Central America,Honduras,1953,past,1676508,1676508,1676508
America,Central America,Mexico,1953,past,30468850,30468850,30468850
America,Central America,Nicaragua,1953,past,1414940,1414940,1414940
America,Central America,Panama,1953,past,928745,928745,928745
America,South America,Argentina,1953,past,18094290,18094290,18094290
America,South America,Bolivia (Plurinational State of),1953,past,3220683,3220683,3220683
America,South America,Brazil,1953,past,58999276,58999276,58999276
America,South America,Chile,1953,past,7016465,7016465,7016465
America,South America,Colombia,1953,past,12993849,12993849,12993849
America,South America,Ecuador,1953,past,3751599,3751599,3751599
America,South America,Falkland Islands (Malvinas),1953,past,2217,2217,2217
America,South America,French Guiana,1953,past,27465,27465,27465
America,South America,Guyana,1953,past,448462,448462,448462
America,South America,Paraguay,1953,past,1590868,1590868,1590868
America,South America,Peru,1953,past,8401373,8401373,8401373
America,South America,Suriname,1953,past,235693,235693,235693
America,South America,Uruguay,1953,past,2313211,2313211,2313211
America,South America,Venezuela (Bolivarian Republic of),1953,past,6226290,6226290,6226290
America,Northern America,Bermuda,1953,past,39142,39142,39142
America,Northern America,Canada,1953,past,14834905,14834905,14834905
America,Northern America,Greenland,1953,past,24465,24465,24465
America,Northern America,Saint Pierre and Miquelon,1953,past,4678,4678,4678
America,Northern America,United States of America,1953,past,165909996,165909996,165909996
Oceania,Australia/New Zealand,Australia,1953,past,8782177,8782177,8782177
Oceania,Australia/New Zealand,New Zealand,1953,past,2040237,2040237,2040237
Oceania,Melanesia,Fiji,1953,past,314452,314452,314452
Oceania,Melanesia,New Caledonia,1953,past,65128,65128,65128
Oceania,Melanesia,Papua New Guinea,1953,past,2041021,2041021,2041021
Oceania,Melanesia,Solomon Islands,1953,past,96539,96539,96539
Oceania,Melanesia,Vanuatu,1953,past,51766,51766,51766
Oceania,Micronesia,Guam,1953,past,61470,61470,61470
Oceania,Micronesia,Kiribati,1953,past,34976,34976,34976
Oceania,Micronesia,Marshall Islands,1953,past,13628,13628,13628
Oceania,Micronesia,Micronesia (Fed. States of),1953,past,35675,35675,35675
Oceania,Micronesia,Nauru,1953,past,3655,3655,3655
Oceania,Micronesia,Northern Mariana Islands,1953,past,7394,7394,7394
Oceania,Micronesia,Palau,1953,past,7821,7821,7821
Oceania,Polynesia,American Samoa,1953,past,19699,19699,19699
Oceania,Polynesia,Cook Islands,1953,past,15830,15830,15830
Oceania,Polynesia,French Polynesia,1953,past,65585,65585,65585
Oceania,Polynesia,Niue,1953,past,4681,4681,4681
Oceania,Polynesia,Samoa,1953,past,89209,89209,89209
Oceania,Polynesia,Tokelau,1953,past,1520,1520,1520
Oceania,Polynesia,Tonga,1953,past,52789,52789,52789
Oceania,Polynesia,Tuvalu,1953,past,4940,4940,4940
Oceania,Polynesia,Wallis and Futuna Islands,1953,past,7417,7417,7417
Africa,Eastern Africa,Burundi,1958,past,2688751,2688751,2688751
Africa,Eastern Africa,Comoros,1958,past,185046,185046,185046
Africa,Eastern Africa,Djibouti,1958,past,76352,76352,76352
Africa,Eastern Africa,Eritrea,1958,past,960538,960538,960538
Africa,Eastern Africa,Ethiopia,1958,past,21201028,21201028,21201028
Africa,Eastern Africa,Kenya,1958,past,7637725,7637725,7637725
Africa,Eastern Africa,Madagascar,1958,past,4864520,4864520,4864520
Africa,Eastern Africa,Malawi,1958,past,3494687,3494687,3494687
Africa,Eastern Africa,Mauritius,1958,past,623274,623274,623274
Africa,Eastern Africa,Mayotte,1958,past,21833,21833,21833
Africa,Eastern Africa,Mozambique,1958,past,6894491,6894491,6894491
Africa,Eastern Africa,Réunion,1958,past,316882,316882,316882
Africa,Eastern Africa,Rwanda,1958,past,2781612,2781612,2781612
Africa,Eastern Africa,Seychelles,1958,past,40320,40320,40320
Africa,Eastern Africa,Somalia,1958,past,2645028,2645028,2645028
Africa,Eastern Africa,South Sudan,1958,past,2744848,2744848,2744848
Africa,Eastern Africa,Uganda,1958,past,6379221,6379221,6379221
Africa,Eastern Africa,United Republic of Tanzania,1958,past,9493994,9493994,9493994
Africa,Eastern Africa,Zambia,1958,past,2891580,2891580,2891580
Africa,Eastern Africa,Zimbabwe,1958,past,3537167,3537167,3537167
Africa,Middle Africa,Angola,1958,past,5306538,5306538,5306538
Africa,Middle Africa,Cameroon,1958,past,4976413,4976413,4976413
Africa,Middle Africa,Central African Republic,1958,past,1457120,1457120,1457120
Africa,Middle Africa,Chad,1958,past,2890636,2890636,2890636
Africa,Middle Africa,Congo,1958,past,972100,972100,972100
Africa,Middle Africa,Democratic Republic of the Congo,1958,past,14508915,14508915,14508915
Africa,Middle Africa,Equatorial Guinea,1958,past,248246,248246,248246
Africa,Middle Africa,Gabon,1958,past,492758,492758,492758
Africa,Middle Africa,Sao Tome and Principe,1958,past,62347,62347,62347
Africa,Northern Africa,Algeria,1958,past,10514077,10514077,10514077
Africa,Northern Africa,Egypt,1958,past,25209459,25209459,25209459
Africa,Northern Africa,Libya,1958,past,1357732,1357732,1357732
Africa,Northern Africa,Morocco,1958,past,11578378,11578378,11578378
Africa,Northern Africa,Sudan,1958,past,7121738,7121738,7121738
Africa,Northern Africa,Tunisia,1958,past,4077211,4077211,4077211
Africa,Northern Africa,Western Sahara,1958,past,27240,27240,27240
Africa,Southern Africa,Botswana,1958,past,486080,486080,486080
Africa,Southern Africa,Lesotho,1958,past,807664,807664,807664
Africa,Southern Africa,Namibia,1958,past,605902,605902,605902
Africa,Southern Africa,South Africa,1958,past,16298795,16298795,16298795
Africa,Southern Africa,Eswatini,1958,past,322860,322860,322860
Africa,Western Africa,Benin,1958,past,2371455,2371455,2371455
Africa,Western Africa,Burkina Faso,1958,past,4699345,4699345,4699345
Africa,Western Africa,Cabo Verde,1958,past,198129,198129,198129
Africa,Western Africa,Côte d'Ivoire,1958,past,3281513,3281513,3281513
Africa,Western Africa,Gambia,1958,past,350228,350228,350228
Africa,Western Africa,Ghana,1958,past,6247304,6247304,6247304
Africa,Western Africa,Guinea,1958,past,3382714,3382714,3382714
Africa,Western Africa,Guinea-Bissau,1958,past,600925,600925,600925
Africa,Western Africa,Liberia,1958,past,1073380,1073380,1073380
Africa,Western Africa,Mali,1958,past,5147342,5147342,5147342
Africa,Western Africa,Mauritania,1958,past,802673,802673,802673
Africa,Western Africa,Niger,1958,past,3206341,3206341,3206341
Africa,Western Africa,Nigeria,1958,past,43412094,43412094,43412094
Africa,Western Africa,Saint Helena,1958,past,5374,5374,5374
Africa,Western Africa,Senegal,1958,past,3038293,3038293,3038293
Africa,Western Africa,Sierra Leone,1958,past,2252841,2252841,2252841
Africa,Western Africa,Togo,1958,past,1535971,1535971,1535971
Asia,Eastern Asia,China,1958,past,640295777,640295777,640295777
Asia,Eastern Asia,China; Hong Kong SAR,1958,past,2827560,2827560,2827560
Asia,Eastern Asia,China; Macao SAR,1958,past,171525,171525,171525
Asia,Eastern Asia,China; Taiwan Province of China,1958,past,10163801,10163801,10163801
Asia,Eastern Asia,Dem. People's Republic of Korea,1958,past,10843977,10843977,10843977
Asia,Eastern Asia,Japan,1958,past,91877637,91877637,91877637
Asia,Eastern Asia,Mongolia,1958,past,909886,909886,909886
Asia,Eastern Asia,Republic of Korea,1958,past,23765501,23765501,23765501
Asia,Central Asia,Kazakhstan,1958,past,9106900,9106900,9106900
Asia,Central Asia,Kyrgyzstan,1958,past,2046913,2046913,2046913
Asia,Central Asia,Tajikistan,1958,past,1959137,1959137,1959137
Asia,Central Asia,Turkmenistan,1958,past,1500013,1500013,1500013
Asia,Central Asia,Uzbekistan,1958,past,7987252,7987252,7987252
Asia,Southern Asia,Afghanistan,1958,past,8680097,8680097,8680097
Asia,Southern Asia,Bangladesh,1958,past,45434542,45434542,45434542
Asia,Southern Asia,Bhutan,1958,past,212424,212424,212424
Asia,Southern Asia,India,1958,past,433380978,433380978,433380978
Asia,Southern Asia,Iran (Islamic Republic of),1958,past,20811135,20811135,20811135
Asia,Southern Asia,Maldives,1958,past,85431,85431,85431
Asia,Southern Asia,Nepal,1958,past,9786976,9786976,9786976
Asia,Southern Asia,Pakistan,1958,past,43011324,43011324,43011324
Asia,Southern Asia,Sri Lanka,1958,past,9412139,9412139,9412139
Asia,South-Eastern Asia,Brunei Darussalam,1958,past,74095,74095,74095
Asia,South-Eastern Asia,Cambodia,1958,past,5441323,5441323,5441323
Asia,South-Eastern Asia,Indonesia,1958,past,83284051,83284051,83284051
Asia,South-Eastern Asia,Lao People's Democratic Republic,1958,past,2025666,2025666,2025666
Asia,South-Eastern Asia,Malaysia,1958,past,7678381,7678381,7678381
Asia,South-Eastern Asia,Myanmar,1958,past,20819752,20819752,20819752
Asia,South-Eastern Asia,Philippines,1958,past,24567266,24567266,24567266
Asia,South-Eastern Asia,Singapore,1958,past,1507544,1507544,1507544
Asia,South-Eastern Asia,Thailand,1958,past,25833567,25833567,25833567
Asia,South-Eastern Asia,Timor-Leste,1958,past,459150,459150,459150
Asia,South-Eastern Asia,Viet Nam,1958,past,30754086,30754086,30754086
Asia,Western Asia,Armenia,1958,past,1743306,1743306,1743306
Asia,Western Asia,Azerbaijan,1958,past,3649189,3649189,3649189
Asia,Western Asia,Bahrain,1958,past,150981,150981,150981
Asia,Western Asia,Cyprus,1958,past,558897,558897,558897
Asia,Western Asia,Georgia,1958,past,3878133,3878133,3878133
Asia,Western Asia,Iraq,1958,past,6951159,6951159,6951159
Asia,Western Asia,Israel,1958,past,1910043,1910043,1910043
Asia,Western Asia,Jordan,1958,past,832979,832979,832979
Asia,Western Asia,Kuwait,1958,past,221615,221615,221615
Asia,Western Asia,Lebanon,1958,past,1691382,1691382,1691382
Asia,Western Asia,Oman,1958,past,527591,527591,527591
Asia,Western Asia,Qatar,1958,past,41542,41542,41542
Asia,Western Asia,Saudi Arabia,1958,past,3855030,3855030,3855030
Asia,Western Asia,State of Palestine,1958,past,1032101,1032101,1032101
Asia,Western Asia,Syrian Arab Republic,1958,past,4291811,4291811,4291811
Asia,Western Asia,Turkey,1958,past,26155927,26155927,26155927
Asia,Western Asia,United Arab Emirates,1958,past,84420,84420,84420
Asia,Western Asia,Yemen,1958,past,5168870,5168870,5168870
Europe,Eastern Europe,Belarus,1958,past,7958727,7958727,7958727
Europe,Eastern Europe,Bulgaria,1958,past,7753612,7753612,7753612
Europe,Eastern Europe,Czechia,1958,past,9508365,9508365,9508365
Europe,Eastern Europe,Hungary,1958,past,9944702,9944702,9944702
Europe,Eastern Europe,Poland,1958,past,28733123,28733123,28733123
Europe,Eastern Europe,Republic of Moldova,1958,past,2853571,2853571,2853571
Europe,Eastern Europe,Romania,1958,past,18202715,18202715,18202715
Europe,Eastern Europe,Russian Federation,1958,past,116622392,116622392,116622392
Europe,Eastern Europe,Slovakia,1958,past,4019642,4019642,4019642
Europe,Eastern Europe,Ukraine,1958,past,41607893,41607893,41607893
Europe,Northern Europe,Channel Islands,1958,past,107711,107711,107711
Europe,Northern Europe,Denmark,1958,past,4522337,4522337,4522337
Europe,Northern Europe,Estonia,1958,past,1192257,1192257,1192257
Europe,Northern Europe,Faroe Islands,1958,past,33706,33706,33706
Europe,Northern Europe,Finland,1958,past,4362911,4362911,4362911
Europe,Northern Europe,Iceland,1958,past,168396,168396,168396
Europe,Northern Europe,Ireland,1958,past,2816353,2816353,2816353
Europe,Northern Europe,Isle of Man,1958,past,49569,49569,49569
Europe,Northern Europe,Latvia,1958,past,2075182,2075182,2075182
Europe,Northern Europe,Lithuania,1958,past,2704988,2704988,2704988
Europe,Northern Europe,Norway,1958,past,3523049,3523049,3523049
Europe,Northern Europe,Sweden,1958,past,7391243,7391243,7391243
Europe,Northern Europe,United Kingdom,1958,past,51754668,51754668,51754668
Europe,Southern Europe,Albania,1958,past,1543256,1543256,1543256
Europe,Southern Europe,Andorra,1958,past,11614,11614,11614
Europe,Southern Europe,Bosnia and Herzegovina,1958,past,3106896,3106896,3106896
Europe,Southern Europe,Croatia,1958,past,4130493,4130493,4130493
Europe,Southern Europe,Gibraltar,1958,past,22977,22977,22977
Europe,Southern Europe,Greece,1958,past,8180310,8180310,8180310
Europe,Southern Europe,Holy See,1958,past,905,905,905
Europe,Southern Europe,Italy,1958,past,49110365,49110365,49110365
Europe,Southern Europe,Malta,1958,past,312303,312303,312303
Europe,Southern Europe,Montenegro,1958,past,469782,469782,469782
Europe,Southern Europe,Portugal,1958,past,8777697,8777697,8777697
Europe,Southern Europe,San Marino,1958,past,14707,14707,14707
